"st001"	"st002"	"st003"	"st004"	"st005"	"st007"	"st009"	"st010"	"st012"	"st013"	"st014"	"st015"	"st017"	"st018"	"st019"	"st022"	"st023"	"st024"	"st025"	"st026"	"st027"	"st028"	"st029"	"st030"	"st032"	"st033"	"st034"	"st035"	"st037"	"st038"	"st039"	"st040"	"st041"	"st043"	"st044"	"st045"	"st046"	"st047"	"st049"	"st050"	"st051"	"st052"	"st053"	"st055"	"st056"	"st057"	"st058"	"st059"	"st060"	"st062"	"st063"	"st064"	"st065"	"st066"	"st067"	"st0681"	"st0682"	"st069"	"st070"	"st0711"	"st0712"	"st072"	"st073"	"st074"	"st075"	"st076"	"st077"	"st078"	"st079"	"st081"	"st082"	"st083"	"st085"	"st086"	"st087"	"st088"	"st089"	"st092"	"st093"	"st094"	"st095"	"st096"	"st097"	"st098"	"st101"	"st102"	"st103"	"st104"	"st106"	"st107"	"st108"	"st109"	"st110"	"st112"	"st114"	"st115"	"st116"	"st118"	"st119"	"st120"	"st121"	"st125"	"st126"	"st127"	"st128"	"st129"	"st130"	"st131"	"st132"	"st133"	"st134"	"st135"	"st138"	"st139"	"st140"	"st141"	"st143"	"st145"	"st146"	"SILVA_taxonomic_classification"	"MAS_taxonomic_classification"	"BM_taxonomic_classification"	"SILVA_class"	"MAS_class"	"BM_class"	"MAS_plus_BM_plus_SILVA_class"	"OTU_no"
"OTU_20269"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20269
"OTU_20272"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488406.1.1697_Eukaryota;SAR;Alveolata;uncultured_dinoflagellate"	"DQ918767_Dinophyceae_Alveolata"	"12126_Dinophyceae_Alveolata_12"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20272
"OTU_20273"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"HM581706.1.1796_Eukaryota;SAR;Alveolata;Dinoflagellata;SCM15C8;uncultured_marine_eukaryote"	"EU561695_Dinophyceae_Alveolata"	"3991_Dinophyceae_Alveolata_468"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20273
"OTU_20275"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EU793378.1.1689_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_dinoflagellate"	"EU793725_Dinophyceae_Alveolata"	"20643_Dinophyceae_Alveolata_33"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20275
"OTU_20280"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU793623_Dinophyceae_Alveolata"	"12009_Dinophyceae_Alveolata_55"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20280
"OTU_20287"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX188327.1.1759_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_eukaryote"	"EU793310_Dinophyceae_Alveolata"	"250_Dinophyceae_Alveolata_874"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20287
"OTU_20291"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20291
"OTU_20295"	1	0	2	1	0	0	4	3	1	1	2	4	1	2	0	1	6	0	2	9	0	16	0	0	8	11	4	4	0	0	4	1	1	0	0	2	2	22	7	0	3	7	0	17	6	7	9	4	8	3	3	9	9	10	0	2	2	3	0	0	0	0	2	0	1	0	20	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	2	2	3	0	1	3	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	4	2	7	0	1	6	0	4	9	3	3	3	0	4	"EU793378.1.1689_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_dinoflagellate"	"EU793725_Dinophyceae_Alveolata"	"13904_Dinophyceae_Alveolata_41"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20295
"OTU_20297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AACY020448038.123.1915_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;marine_metagenome"	"EU780621_Dinophyceae_Alveolata"	"3266_Dinophyceae_Alveolata_164"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20297
"OTU_20298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU793623_Dinophyceae_Alveolata"	"17843_Dinophyceae_Alveolata_12"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20298
"OTU_20302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU793835_Dinophyceae_Alveolata"	"11612_Dinophyceae_Alveolata_12"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20302
"OTU_20311"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20311
"OTU_20322"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU793835_Dinophyceae_Alveolata"	"1849_Dinophyceae_Alveolata_250"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20322
"OTU_20331"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX188327.1.1759_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_eukaryote"	"EU793310_Dinophyceae_Alveolata"	"250_Dinophyceae_Alveolata_874"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20331
"OTU_20345"	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20345
"OTU_20346"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	"JQ996381.1.1805_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Incertae_Sedis;Cochlodinium;Sinophysis_stenosoma"	"AY938237_Dinophyceae_Alveolata"	"3452_Dinophyceae_Alveolata_715"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20346
"OTU_20349"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"KC488406.1.1697_Eukaryota;SAR;Alveolata;uncultured_dinoflagellate"	"EU793487_Dinophyceae_Alveolata"	"12126_Dinophyceae_Alveolata_12"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20349
"OTU_20352"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EU793378.1.1689_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_dinoflagellate"	"EU793725_Dinophyceae_Alveolata"	"13904_Dinophyceae_Alveolata_41"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20352
"OTU_20357"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20357
"OTU_20359"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"HM581706.1.1796_Eukaryota;SAR;Alveolata;Dinoflagellata;SCM15C8;uncultured_marine_eukaryote"	"EU561695_Dinophyceae_Alveolata"	"3991_Dinophyceae_Alveolata_468"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20359
"OTU_20361"	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488417.1.1688_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;FV18-2D9;uncultured_dinoflagellate"	"EU793855_Dinophyceae_Alveolata"	"17232_Dinophyceae_Alveolata_53"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20361
"OTU_20365"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX188327.1.1759_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_eukaryote"	"EU793310_Dinophyceae_Alveolata"	"250_Dinophyceae_Alveolata_874"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20365
"OTU_20367"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX188327.1.1759_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_eukaryote"	"EU793310_Dinophyceae_Alveolata"	"250_Dinophyceae_Alveolata_874"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20367
"OTU_20368"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20368
"OTU_20370"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664950.1.1755_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;uncultured_eukaryote"	"EU500026_Dinophyceae_Alveolata"	"492_Dinophyceae_Alveolata_505"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20370
"OTU_20372"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488417.1.1688_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;FV18-2D9;uncultured_dinoflagellate"	"EU793855_Dinophyceae_Alveolata"	"17232_Dinophyceae_Alveolata_53"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20372
"OTU_20376"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488417.1.1688_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;FV18-2D9;uncultured_dinoflagellate"	"EU793855_Dinophyceae_Alveolata"	"9492_Dinophyceae_Alveolata_15"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20376
"OTU_20385"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20385
"OTU_20398"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FJ914446.1.1527_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;B36;uncultured_marine_dinoflagellate"	"EU561942_Dinophyceae_Alveolata"	"60_Dinophyceae_Alveolata_2847"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20398
"OTU_20410"	0	0	0	2	3	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU793623_Dinophyceae_Alveolata"	"18155_Dinophyceae_Alveolata_47"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20410
"OTU_20420"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664924.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"16659_Dinophyceae_Alveolata_16"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20420
"OTU_20428"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	"AY664924.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"18568_Dinophyceae_Alveolata_11"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20428
"OTU_20432"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664971.1.1755_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_eukaryote"	"FJ537481_Dinophyceae_Alveolata"	"5651_Dinophyceae_Alveolata_249"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	20432
